0,1,2,3
0.0,0.33426806,0.0,1
0.0,0.38396022,0.0,1
0.08780081,0.34131315,0.0,0
0.0,0.3999531,0.0,0
0.07597639,0.34796813,0.0,2
0.0,0.46795887,0.0,0
0.0,0.3404232,0.0,1
0.0,0.44067156,0.0,1
0.002541537,0.46864963,0.0,3
0.03192619,0.43896908,0.0,1
0.115647264,0.46389768,0.0,2
0.0,0.2929499,0.0,0
0.15021528,0.4708646,0.0,2
0.041196328,0.4544267,0.0,2
0.0,0.43539214,0.0,3
0.02664042,0.39546117,0.0,1
0.016262382,0.4628718,0.0,3
0.021268487,0.46369547,0.0,3
0.11317233,0.46869522,0.0,2
0.0,0.38766846,0.0,0
0.0,0.47498804,0.0,3
0.0,0.40313798,0.0,1
0.007849744,0.42337126,0.0,3
0.0,0.47201663,0.0,0
0.0,0.3272302,0.0,0
0.015050577,0.47290513,0.0,3
0.0,0.46145698,0.0,3
0.07692201,0.4109495,0.0,2
0.0,0.37976125,0.0,1
0.0,0.47190946,0.0,3
0.0,0.31310093,0.0,0
0.082345724,0.36628988,0.0,0
0.0007550804,0.4567443,0.0,0
0.0,0.46699464,0.0,2
0.002057927,0.36895475,0.0,0
0.029538723,0.36146864,0.0,0
0.0,0.46548957,0.0,2
0.0,0.31895068,0.0,1
0.0,0.43666118,0.0,0
0.0,0.39204875,0.0,3
0.0,0.47460505,0.0,3
0.0,0.27911043,0.0,1
0.007411936,0.465237,0.0,3
0.0,0.38514873,0.0,0
0.009800119,0.38909322,0.0,1
0.0941495,0.46239963,0.0,2
0.0,0.33967787,0.0,1
0.0,0.40555364,0.0,3
0.0,0.4329218,0.0,0
0.0,0.31999037,0.0,1
0.039480794,0.44346496,0.0,2
0.015393535,0.40343916,0.0,0
0.0,0.44723704,0.0,3
0.0,0.34020188,0.0,1
0.0,0.45321667,0.0,0
0.017065447,0.43199822,0.0,0
0.006391229,0.4542446,0.0,2
0.0,0.3119245,0.0,1
0.0,0.47416717,0.0,3
0.0,0.4720038,0.0,3
0.0,0.39029846,0.0,1
0.0,0.4704607,0.0,0
0.0,0.47370484,0.0,0
0.06768652,0.46386105,0.0,2
0.0,0.46572763,0.0,2
0.0,0.4269714,0.0,3
0.0011978836,0.47294173,0.0,0
0.0027844268,0.45324713,0.0,0
0.0,0.46499848,0.0,2
0.0,0.4294539,0.0,1
0.0054410277,0.4469544,0.0,2
0.0,0.46638584,0.0,3
0.0,0.4483836,0.0,2
0.052455507,0.39790758,0.0,3
0.041279428,0.33383223,0.0,1
0.00475202,0.39312622,0.0,1
0.008069568,0.45365417,0.0,0
0.0,0.460958,0.0,3
0.0,0.45122084,0.0,2
0.07835565,0.45171964,0.0,2
0.0,0.4164775,0.0,0
0.0,0.38653,0.0,1
0.0,0.47280034,0.0,0
0.0,0.45710585,0.0,2
0.0,0.41995782,0.0,2
0.0,0.30067864,0.0,1
0.0,0.40645707,0.0,1
0.0,0.40414047,0.0,0
0.0,0.47490823,0.0,3
0.010815122,0.3907691,0.0,1
